tweetId,is_covid,got_shown,true?,views,,,,,
1771805931250028719,TRUE,0,opinion,"18,500",,,,,
1758694261267079340,TRUE,0,FALSE,"1,764",,,,,
1442278888202129410,TRUE,0,opinion,,,,,,
1645717102601306113,TRUE,0,,,not covid,,,,
1656717812012924928,TRUE,0,gone,,,,,,
1423870823891300357,TRUE,0,?,,,,,,
1665184139635568642,TRUE,0,FALSE,"1,400,000",,,,,
1637019936198475776,TRUE,0,TRUE,"825,400",,,,,
1684976398048342022,TRUE,0,,,,,,,
1476362129229983745,TRUE,0,,,,,,,
1781642413699719234,TRUE,0,,,,,,,
1613343181835313152,TRUE,0,,,,,,,
1759351099243344156,TRUE,0,,,,,,,
1686305781057040384,TRUE,0,,,,,,,
1799270727000248628,TRUE,0,,,,,,,
1830572659530191126,TRUE,0,,,,,,,
1788555765692653620,TRUE,0,,,,,,,
1837964897419767877,TRUE,0,,,,,,,
1750986056294715496,TRUE,0,,,,,,,
1801249844591288498,TRUE,0,,,,,,,
1778637805633389005,TRUE,0,,,,,,,
1804164032456212893,TRUE,0,,,,,,,
1718587551500624310,TRUE,0,,,,,,,
1615911214944583681,TRUE,0,,,,,,,
1755974827851108381,TRUE,0,,,,,,,
1640483462485536770,TRUE,0,,,,,,,
1785202477358329859,TRUE,0,,,,,,,
1579653043897139201,TRUE,0,,,,,,,
1813726727572713921,TRUE,0,,,,,,,
1785018319059538264,TRUE,0,,,,,,,
1747239340315685358,TRUE,0,,,,,,,
1776943478615715907,TRUE,0,,,,,,,
1426681963507748865,TRUE,0,,,,,,,
1355240833700794370,TRUE,0,,,,,,,
1831267919742849298,TRUE,0,,,,,,,
1842654833297248268,TRUE,0,,,,,,,
1722305281437143542,TRUE,0,,,,,,,
1761268575812427896,TRUE,0,,,,,,,
1620563390254166017,TRUE,0,,,,,,,
1811018790282330315,TRUE,0,,,,,,,
1725702292576587877,TRUE,0,,,,,,,
1735060233356226722,TRUE,0,,,,,,,
1766798440049094733,TRUE,0,,,,,,,
1617369448826179585,TRUE,0,,,,,,,
1752910590048416032,TRUE,0,,,,,,,
1711526463999025238,TRUE,0,,,,,,,
1741228649125159233,TRUE,0,,,,,,,
1735336092885307404,TRUE,0,,,,,,,
1778463025441485241,TRUE,0,,,,,,,
1817728093940859101,TRUE,0,,,,,,,
1478733853636313089,TRUE,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
